Pais,Nombre,Tipo,Ciudad_Region,Contacto,Fuente,Estado,Notas
Argentina,Cabanas Turismo Rural Barro Blanco,Cabanas/rural,San Salvador de Jujuy (Jujuy),Ver en Welcome Argentina,WelcomeArgentina,POR VERIFICAR,"Aparece solo en directorio de terceros; sin web propia evidente. Buscar tel/email en la ficha."
Argentina,Cabanas La Vieja Balsa,Cabanas/rural,Alumine (Neuquen),+54 2942 445757,InterPatagonia,POR VERIFICAR,"Listado en InterPatagonia; sin sitio propio claro."
Chile,Hospedaje Familiar y Camping Tuhildad,Hospedaje familiar/camping,Quellon (Chiloe),+56 9 9704 6995 | [email protected],ViajaRural,POR VERIFICAR,"Listado en ViajaRural; sin web propia. Cocina tipica chilota."
Chile,Cabanas Peumayen,Cabanas/rural,Panguipulli (Los Rios),+56 9 7455 3991,CabanasVerificadas,POR VERIFICAR,"Listado en Cabañas Verificadas; sin dominio propio."
Chile,Hospedaje Familiar Ad Lewfu 'vista al lago',Hospedaje mapuche/lago,Llaguepulli, Teodoro Schmidt (Araucania),Via hotelplazacolonarica.cl,POR VERIFICAR,"Experiencia cultural mapuche en Lago Budi; sin web propia."
Colombia,Posada Ecoturistica El Valle,Eco/hospedaje,El Valle (Choco),Subdominio hotelpuertomaderochia.com,Listado terceros,POR VERIFICAR,"Tiene subdominio basico de tercero; candidato a web propia profesional."
Colombia,Ecohotel El Reposo,Ecohotel,Rionegro/Antioquia (Caribe),+57 311 301 1938 (WhatsApp),Web propia,POR VERIFICAR,"YA TIENE web; reserva solo por WhatsApp. Candidato a mejorar motor de reservas, no a crear desde cero."
Peru,Casa Vivencial Ch'ata Kero,Turismo vivencial,Coporaque, Valle del Colca (Arequipa),GardenHotel listing,POR VERIFICAR,"Familia Sebastian/Jesusa; 8 habitaciones. Sin web propia."
Peru,Casa Vivencial Samana Wasi,Turismo vivencial,Sibayo, Caylloma (Arequipa),GardenHotel listing,POR VERIFICAR,"Familia Eusebio/Nieves; experiencia andina. Sin web propia."
Peru,Hospedaje Khantati Luquina,Turismo comunitario,Luquina Chico, Puno (Titicaca),GardenHotel listing,POR VERIFICAR,"Familias anfitrionas en Lago Titicaca. Sin web propia."
Peru,Comunidad Nativa Diamante,Turismo vivencial amazonico,Manu, Madre de Dios,GardenHotel listing,POR VERIFICAR,"Etnia Yine; 95 familias. Sin web propia; conectividad casi nula."
Peru,Yaku Wasi,Homestay familiar,Leymebamba (Amazonas),turismoleymebamba.com,POR VERIFICAR,"YA TIENE web; guia local Sinecio Garro. Candidato a potenciar, no crear."
